Season,TeamA,TeamB,Win,A_PPG,A_FG%,A_FG3%,A_FT%,A_OR_per_game,A_DR_per_game,A_Ast_per_game,A_TO_per_game,A_Stl_per_game,A_Blk_per_game,A_PF_per_game,A_Road_Wins,A_ConfAbbrev,A_TeamName,A_TotalD1Seasons,A_Seed,A_CoachName,B_PPG,B_FG%,B_FG3%,B_FT%,B_OR_per_game,B_DR_per_game,B_Ast_per_game,B_TO_per_game,B_Stl_per_game,B_Blk_per_game,B_PF_per_game,B_Road_Wins,B_ConfAbbrev,B_TeamName,B_TotalD1Seasons,B_Seed,B_CoachName
2023,1211,1104,,86,52,38,70,9,24,16,10,7,3,17,13,wcc,Gonzaga,39,Z03,mark_few,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1213,1104,,72,45,38,71,8,24,12,11,5,3,18,10,wac,Grand Canyon,10,Z14,bryce_drew,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1222,1104,,75,46,34,72,12,24,15,9,8,5,17,14,aac,Houston,39,Y01,kelvin_sampson,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1224,1104,,74,45,37,72,10,22,14,16,7,3,18,9,meac,Howard,39,Z16,kenneth_blakeney,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1228,1104,,75,45,31,68,10,25,12,12,7,6,17,5,big_ten,Illinois,39,Z09,brad_underwood,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1231,1104,,75,49,37,71,8,25,15,11,6,5,17,7,big_ten,Indiana,39,Y04,mike_woodson,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1233,1104,,76,46,36,73,10,23,15,10,7,6,16,16,maac,Iona,39,Z13,rick_pitino,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1234,1104,,80,45,34,74,10,23,17,10,7,3,15,5,big_ten,Iowa,39,Y08,fran_mccaffery,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1235,1104,,68,45,34,67,10,21,14,13,9,3,19,6,big_twelve,Iowa St,39,Y06,t_j_otzelberger,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1242,1104,,75,47,34,72,8,25,16,12,9,4,17,12,big_twelve,Kansas,39,Z01,bill_self,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1243,1104,,76,45,34,75,9,24,17,14,8,3,18,8,big_twelve,Kansas St,39,W03,jerome_tang,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1244,1104,,74,46,37,66,7,23,14,12,7,3,18,11,a_sun,Kennesaw,18,Y14,amir_abdur_rahim,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1245,1104,,76,45,33,72,9,23,12,11,9,4,19,13,mac,Kent,39,Y13,rob_senderoff,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1246,1104,,75,46,35,70,12,24,15,11,6,4,16,7,sec,Kentucky,39,W06,john_calipari,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1266,1104,,80,49,35,72,7,21,18,11,9,3,16,12,big_east,Marquette,39,W02,shaka_smart,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1268,1104,,70,45,33,74,9,23,12,10,5,4,16,5,big_ten,Maryland,39,X08,kevin_willard,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1272,1104,,80,48,36,75,9,24,16,13,9,5,18,13,aac,Memphis,39,W08,anfernee_hardaway,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1274,1104,,79,49,37,78,9,23,15,11,7,3,14,9,acc,Miami FL,38,Y05,jim_larranaga,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1277,1104,,70,45,40,76,7,25,15,10,5,3,17,7,big_ten,Michigan St,39,W07,tom_izzo,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1280,1104,,66,42,27,65,12,23,14,12,9,3,15,9,sec,Mississippi St,39,Y11a,chris_jans,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1281,1104,,79,47,36,76,8,20,16,11,10,3,18,8,sec,Missouri,39,X07,dennis_gates,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1286,1104,,71,46,32,76,7,22,12,12,6,3,19,13,big_sky,Montana St,39,W14,danny_sprinkle,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1297,1104,,67,43,35,70,10,20,13,11,9,3,16,8,horizon,N Kentucky,11,Y16,darrin_horn,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1301,1104,,78,45,35,72,10,24,13,9,8,5,17,8,acc,NC State,39,X11,kevin_keatts,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1305,1104,,72,44,34,79,6,24,14,10,6,3,18,8,mwc,Nevada,39,Z11b,steve_alford,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1321,1104,,68,41,32,75,9,23,13,9,8,4,16,8,big_ten,Northwestern,39,Z07,chris_collins,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1331,1104,,82,48,37,78,7,26,14,9,7,5,14,14,summit,Oral Roberts,39,W12,paul_mills,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1336,1104,,72,46,39,74,5,25,14,8,4,2,16,9,big_ten,Penn St,39,Y10,micah_shrewsberry,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1338,1104,,76,45,36,76,9,24,14,11,5,4,16,8,acc,Pittsburgh,39,Y11b,jeff_capel,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1343,1104,,75,46,34,71,8,27,13,11,5,3,16,9,ivy,Princeton,39,X15,mitch_henderson,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1344,1104,,78,46,35,75,10,25,15,11,7,5,15,6,big_east,Providence,39,W11,ed_cooley,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1345,1104,,73,46,33,74,11,25,16,10,5,4,14,15,big_ten,Purdue,39,W01,matt_painter,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1361,1104,,71,44,34,74,9,23,13,11,7,4,16,12,mwc,San Diego St,39,X05,brian_dutcher,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1364,1104,,72,49,35,74,7,22,14,10,6,2,16,15,big_west,UC Santa Barbara,39,X14,joe_pasternack,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1369,1104,,77,43,33,72,8,24,13,12,7,3,21,10,ovc,SE Missouri St,32,X16a,brad_korn,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1388,1104,,71,46,37,69,9,23,12,9,7,4,16,10,wcc,St Mary's CA,39,Z05,randy_bennett,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1394,1104,,78,45,37,80,10,23,15,12,8,2,19,10,southland,TAM C. Christi,21,X16b,steve_lutz,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1395,1104,,75,46,31,70,10,23,16,12,8,5,16,8,big_twelve,TCU,39,Z06,jamie_dixon,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1397,1104,,72,44,33,71,12,24,17,11,8,4,17,9,sec,Tennessee,39,W04,rick_barnes,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1400,1104,,78,47,34,75,9,23,16,11,8,4,18,9,big_twelve,Texas,39,Y02,chris_beard,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1401,1104,,73,44,33,76,11,23,13,12,7,2,18,10,sec,Texas A&M,39,Y07,buzz_williams,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1411,1104,,68,42,29,66,9,23,11,14,6,3,19,7,swac,TX Southern,39,W16b,johnny_jones,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1417,1104,,74,46,35,72,10,22,14,9,8,4,16,12,pac_twelve,UCLA,39,Z02,mick_cronin,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1418,1104,,76,47,37,67,10,23,14,12,7,3,17,12,sun_belt,Louisiana,39,W13,bob_marlin,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1421,1104,,73,47,39,69,7,24,12,13,6,4,16,14,big_south,UNC Asheville,37,Z15,mike_morell,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1425,1104,,73,46,34,74,8,24,13,12,7,5,17,7,pac_twelve,USC,39,W10,andy_enfield,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1429,1104,,78,48,39,77,7,26,17,12,5,3,17,12,mwc,Utah St,39,X10,ryan_odom,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1433,1104,,71,47,35,70,8,23,13,13,9,5,16,12,a_ten,VCU,39,Z12,mike_rhoades,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1436,1104,,72,47,36,70,5,23,14,9,6,3,15,10,aec,Vermont,39,W15,john_becker,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1438,1104,,68,45,35,70,7,23,16,8,7,4,14,10,acc,Virginia,39,X04,tony_bennett,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1452,1104,,76,45,35,74,10,22,13,12,7,3,18,6,big_twelve,West Virginia,39,X09,bob_huggins,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1462,1104,,81,49,40,71,9,26,19,12,7,3,16,10,big_east,Xavier,39,Y03,sean_miller,82,45,34,73,11,30,15,14,6,5,19,14,sec,Alabama,39,X01,nate_oats
2023,1113,1112,,70,41,31,69,9,24,14,12,7,5,19,12,pac_twelve,Arizona St,39,Z11a,bobby_hurley,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1116,1112,,74,48,32,69,9,24,13,13,8,5,19,6,sec,Arkansas,39,Z08,eric_musselman,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1120,1112,,73,44,31,70,10,23,14,12,8,5,19,6,sec,Auburn,39,Y09,bruce_pearl,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1124,1112,,77,45,37,75,10,20,14,12,7,2,17,8,big_twelve,Baylor,39,X03,scott_drew,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1129,1112,,72,45,36,74,8,25,11,11,5,3,16,9,mwc,Boise St,39,Z10,leon_rice,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1158,1112,,80,44,33,74,12,25,14,12,7,3,17,14,caa,Col Charleston,32,X12,pat_kelsey,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1159,1112,,78,51,41,66,7,24,18,10,7,3,13,12,patriot,Colgate,39,Y15,matt_langel,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1163,1112,,78,46,36,75,12,24,17,12,7,5,18,10,big_east,Connecticut,39,Z04,dan_hurley,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1166,1112,,77,47,36,77,8,27,16,11,5,4,13,8,big_east,Creighton,39,X06,greg_mcdermott,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1179,1112,,74,46,37,77,7,26,13,10,5,2,15,13,mvc,Drake,39,Y12,darian_devries,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1181,1112,,73,45,34,77,11,25,15,12,6,4,15,10,acc,Duke,39,W05,jon_scheyer,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1192,1112,,76,45,34,75,10,21,14,11,7,2,19,9,nec,F Dickinson,39,W16a,tobin_anderson,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1194,1112,,78,47,37,72,9,26,14,11,6,3,16,14,cusa,FL Atlantic,30,W09,dusty_may,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1202,1112,,80,48,34,73,9,24,16,11,6,3,17,13,southern,Furman,39,X13,bob_richey,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1211,1112,,86,52,38,70,9,24,16,10,7,3,17,13,wcc,Gonzaga,39,Z03,mark_few,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1213,1112,,72,45,38,71,8,24,12,11,5,3,18,10,wac,Grand Canyon,10,Z14,bryce_drew,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1222,1112,,75,46,34,72,12,24,15,9,8,5,17,14,aac,Houston,39,Y01,kelvin_sampson,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1224,1112,,74,45,37,72,10,22,14,16,7,3,18,9,meac,Howard,39,Z16,kenneth_blakeney,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1228,1112,,75,45,31,68,10,25,12,12,7,6,17,5,big_ten,Illinois,39,Z09,brad_underwood,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1231,1112,,75,49,37,71,8,25,15,11,6,5,17,7,big_ten,Indiana,39,Y04,mike_woodson,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1233,1112,,76,46,36,73,10,23,15,10,7,6,16,16,maac,Iona,39,Z13,rick_pitino,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1234,1112,,80,45,34,74,10,23,17,10,7,3,15,5,big_ten,Iowa,39,Y08,fran_mccaffery,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1235,1112,,68,45,34,67,10,21,14,13,9,3,19,6,big_twelve,Iowa St,39,Y06,t_j_otzelberger,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1242,1112,,75,47,34,72,8,25,16,12,9,4,17,12,big_twelve,Kansas,39,Z01,bill_self,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1243,1112,,76,45,34,75,9,24,17,14,8,3,18,8,big_twelve,Kansas St,39,W03,jerome_tang,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1244,1112,,74,46,37,66,7,23,14,12,7,3,18,11,a_sun,Kennesaw,18,Y14,amir_abdur_rahim,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1245,1112,,76,45,33,72,9,23,12,11,9,4,19,13,mac,Kent,39,Y13,rob_senderoff,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1246,1112,,75,46,35,70,12,24,15,11,6,4,16,7,sec,Kentucky,39,W06,john_calipari,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1266,1112,,80,49,35,72,7,21,18,11,9,3,16,12,big_east,Marquette,39,W02,shaka_smart,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1268,1112,,70,45,33,74,9,23,12,10,5,4,16,5,big_ten,Maryland,39,X08,kevin_willard,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1272,1112,,80,48,36,75,9,24,16,13,9,5,18,13,aac,Memphis,39,W08,anfernee_hardaway,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1274,1112,,79,49,37,78,9,23,15,11,7,3,14,9,acc,Miami FL,38,Y05,jim_larranaga,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1277,1112,,70,45,40,76,7,25,15,10,5,3,17,7,big_ten,Michigan St,39,W07,tom_izzo,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1280,1112,,66,42,27,65,12,23,14,12,9,3,15,9,sec,Mississippi St,39,Y11a,chris_jans,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1281,1112,,79,47,36,76,8,20,16,11,10,3,18,8,sec,Missouri,39,X07,dennis_gates,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1286,1112,,71,46,32,76,7,22,12,12,6,3,19,13,big_sky,Montana St,39,W14,danny_sprinkle,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1297,1112,,67,43,35,70,10,20,13,11,9,3,16,8,horizon,N Kentucky,11,Y16,darrin_horn,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1301,1112,,78,45,35,72,10,24,13,9,8,5,17,8,acc,NC State,39,X11,kevin_keatts,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1305,1112,,72,44,34,79,6,24,14,10,6,3,18,8,mwc,Nevada,39,Z11b,steve_alford,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1321,1112,,68,41,32,75,9,23,13,9,8,4,16,8,big_ten,Northwestern,39,Z07,chris_collins,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1331,1112,,82,48,37,78,7,26,14,9,7,5,14,14,summit,Oral Roberts,39,W12,paul_mills,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1336,1112,,72,46,39,74,5,25,14,8,4,2,16,9,big_ten,Penn St,39,Y10,micah_shrewsberry,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1338,1112,,76,45,36,76,9,24,14,11,5,4,16,8,acc,Pittsburgh,39,Y11b,jeff_capel,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1343,1112,,75,46,34,71,8,27,13,11,5,3,16,9,ivy,Princeton,39,X15,mitch_henderson,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1344,1112,,78,46,35,75,10,25,15,11,7,5,15,6,big_east,Providence,39,W11,ed_cooley,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1345,1112,,73,46,33,74,11,25,16,10,5,4,14,15,big_ten,Purdue,39,W01,matt_painter,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1361,1112,,71,44,34,74,9,23,13,11,7,4,16,12,mwc,San Diego St,39,X05,brian_dutcher,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1364,1112,,72,49,35,74,7,22,14,10,6,2,16,15,big_west,UC Santa Barbara,39,X14,joe_pasternack,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1369,1112,,77,43,33,72,8,24,13,12,7,3,21,10,ovc,SE Missouri St,32,X16a,brad_korn,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1388,1112,,71,46,37,69,9,23,12,9,7,4,16,10,wcc,St Mary's CA,39,Z05,randy_bennett,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1394,1112,,78,45,37,80,10,23,15,12,8,2,19,10,southland,TAM C. Christi,21,X16b,steve_lutz,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1395,1112,,75,46,31,70,10,23,16,12,8,5,16,8,big_twelve,TCU,39,Z06,jamie_dixon,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1397,1112,,72,44,33,71,12,24,17,11,8,4,17,9,sec,Tennessee,39,W04,rick_barnes,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1400,1112,,78,47,34,75,9,23,16,11,8,4,18,9,big_twelve,Texas,39,Y02,chris_beard,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1401,1112,,73,44,33,76,11,23,13,12,7,2,18,10,sec,Texas A&M,39,Y07,buzz_williams,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1411,1112,,68,42,29,66,9,23,11,14,6,3,19,7,swac,TX Southern,39,W16b,johnny_jones,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1417,1112,,74,46,35,72,10,22,14,9,8,4,16,12,pac_twelve,UCLA,39,Z02,mick_cronin,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1418,1112,,76,47,37,67,10,23,14,12,7,3,17,12,sun_belt,Louisiana,39,W13,bob_marlin,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1421,1112,,73,47,39,69,7,24,12,13,6,4,16,14,big_south,UNC Asheville,37,Z15,mike_morell,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1425,1112,,73,46,34,74,8,24,13,12,7,5,17,7,pac_twelve,USC,39,W10,andy_enfield,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1429,1112,,78,48,39,77,7,26,17,12,5,3,17,12,mwc,Utah St,39,X10,ryan_odom,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
2023,1433,1112,,71,47,35,70,8,23,13,13,9,5,16,12,a_ten,VCU,39,Z12,mike_rhoades,83,50,38,71,9,27,19,13,6,3,17,13,pac_twelve,Arizona,39,X02,tommy_lloyd
