Season,Team,PPG,FG%,FG3%,FT%,OR_per_game,DR_per_game,Ast_per_game,TO_per_game,Stl_per_game,Blk_per_game,PF_per_game,Road_Wins,ConfAbbrev,TeamName,TotalD1Seasons,Seed,CoachName,Qualified
2003,1128,68,44,36,72,11,21,13,16,8,4,18,7,ind,Birmingham So,4,,duane_reboul,0
2003,1129,66,41,30,70,11,22,12,14,7,4,20,4,wac,Boise St,39,,greg_graham,0
2003,1130,80,47,34,69,14,22,17,13,7,3,19,9,big_east,Boston College,39,,al_skinner,0
2003,1131,68,43,34,74,11,24,14,13,6,3,20,11,aec,Boston Univ,39,,dennis_wolff,0
2003,1132,66,44,37,74,9,22,13,17,7,3,22,5,mac,Bowling Green,39,,dan_dakich,0
2003,1133,72,44,36,70,11,23,13,14,7,2,20,5,mvc,Bradley,39,,jim_les,0
2003,1135,74,46,37,74,10,23,15,16,8,4,18,10,ivy,Brown,39,,glen_miller,0
2003,1137,58,40,34,64,10,22,12,16,6,2,18,7,patriot,Bucknell,39,,pat_flannery,0
2003,1138,65,40,29,67,14,23,13,14,6,2,23,0,mac,Buffalo,32,,reggie_witherspoon,0
2003,1139,69,48,39,72,8,20,13,10,6,2,16,13,horizon,Butler,39,W12,todd_lickliter,1
2003,1140,72,47,38,75,11,24,13,14,7,3,21,10,mwc,BYU,39,X12,steve_cleveland,1
2003,1141,79,51,38,77,11,23,16,18,7,4,21,12,mac,C Michigan,39,Z11,jay_smith,1
2003,1142,68,42,32,72,12,23,12,16,7,4,19,9,big_west,Cal Poly,29,,kevin_bromley,0
2003,1143,74,47,38,69,11,24,16,14,7,3,17,8,pac_ten,California,39,W08,ben_braun,1
2003,1144,65,44,35,70,8,20,14,16,6,3,17,0,a_sun,Campbell,39,,billy_lee,0
2003,1145,70,44,34,71,12,25,16,14,8,3,19,4,maac,Canisius,39,,mike_macdonald,0
2003,1147,73,45,32,77,11,18,12,16,8,4,20,5,ind,Centenary,27,,kevin_johnson,0
2003,1148,68,46,38,75,12,22,11,15,6,2,16,6,nec,Central Conn,37,,howie_dickenman,0
2003,1149,65,44,28,75,11,21,12,15,10,3,19,5,big_south,Charleston So,39,,jim_platt,0
2003,1150,68,40,33,63,15,23,15,14,8,2,18,2,cusa,Charlotte,39,,bobby_lutz,0
2003,1151,80,48,37,76,13,23,16,16,7,3,19,10,southern,Chattanooga,39,,jeff_lebo,0
2003,1152,63,44,33,62,12,21,12,17,7,2,22,1,mid_cont,Chicago St,39,,bo_ellis,0
2003,1153,67,40,34,69,12,23,12,11,5,4,19,5,cusa,Cincinnati,39,Z08,bob_huggins,1
2003,1154,63,40,31,66,11,22,13,16,7,3,20,1,southern,Citadel,39,,pat_dennis,0
2003,1155,68,44,35,66,13,22,13,13,7,3,19,2,acc,Clemson,39,,larry_shyatt,0
2003,1156,66,45,37,66,10,21,14,17,7,4,19,3,horizon,Cleveland St,39,,rollie_massimino,0
2003,1157,67,43,37,73,13,22,12,17,6,2,21,5,big_south,Coastal Car,37,,pete_strickland,0
2003,1158,73,44,39,69,11,24,14,14,7,4,19,12,southern,Col Charleston,32,,tom_herrion,0
2003,1159,66,43,35,69,11,22,14,14,7,2,19,5,patriot,Colgate,39,,emmett_davis,0
2003,1160,76,44,33,68,14,28,13,14,6,7,18,6,big_twelve,Colorado,39,X10,ricardo_patton,1
2003,1161,74,51,36,70,11,23,16,16,5,4,21,5,mwc,Colorado St,39,Z14,dale_layer,1
2003,1162,50,37,30,67,9,22,10,17,5,3,18,1,ivy,Columbia,39,,armond_hill,0
2003,1163,80,47,39,67,15,28,16,16,6,8,18,7,big_east,Connecticut,39,X05,jim_calhoun,1
2003,1164,58,44,39,73,9,19,9,15,7,2,16,6,meac,Coppin St,38,,fang_mitchell,0
2003,1165,60,42,34,64,9,22,13,15,7,2,18,4,ivy,Cornell,39,,steve_donahue,0
2003,1166,79,50,39,69,11,23,17,13,8,4,17,12,mvc,Creighton,39,Z06,dana_altman,1
2003,1168,63,44,35,65,12,19,12,13,6,2,18,4,big_west,CS Fullerton,39,,donny_daniels,0
2003,1169,70,45,35,71,12,22,13,17,9,2,23,5,big_west,CS Northridge,33,,bobby_braswell,0
2003,1170,65,41,31,67,11,22,13,16,8,3,21,6,big_sky,CS Sacramento,32,,jerome_jenkins,0
2003,1171,59,41,36,70,7,21,14,12,6,2,19,4,ivy,Dartmouth,39,,dave_faucher,0
2003,1172,76,45,39,77,12,28,16,19,6,2,20,6,southern,Davidson,39,,bob_mckillop,0
2003,1173,73,45,36,72,13,23,15,13,5,3,18,7,a_ten,Dayton,39,Y04,oliver_purnell,1
2003,1174,69,41,34,71,11,24,14,13,8,4,19,7,caa,Delaware,39,,david_henderson,0
2003,1175,62,44,37,69,11,19,12,14,7,3,18,4,meac,Delaware St,39,,greg_jackson,0
2003,1176,71,41,35,73,13,24,14,13,7,2,19,7,sun_belt,Denver,25,,terry_carroll,0
2003,1177,67,44,33,73,12,25,13,15,6,2,18,3,cusa,DePaul,39,,dave_leitao,0
2003,1178,71,48,35,70,11,22,13,12,6,3,19,8,horizon,Detroit,39,,perry_watson,0
2003,1179,64,45,34,73,8,22,13,14,4,2,17,3,mvc,Drake,39,,kurt_kanaskie,0
2003,1180,69,43,34,67,11,24,15,14,7,5,18,12,caa,Drexel,39,,bruiser_flint,0
2003,1181,82,45,36,71,14,23,14,14,8,5,21,9,acc,Duke,39,Z03,mike_krzyzewski,1
2003,1182,67,44,37,69,11,22,13,19,7,4,19,4,a_ten,Duquesne,39,,danny_nee,0
2003,1183,77,44,38,76,12,23,16,13,6,2,20,4,ovc,E Illinois,39,,rick_samuels,0
2003,1184,75,45,33,69,12,21,14,15,8,2,23,3,ovc,E Kentucky,39,,travis_ford,0
2003,1185,77,46,30,64,13,24,15,15,6,3,22,3,mac,E Michigan,39,,jim_boone,0
2003,1186,70,47,35,73,9,23,15,17,8,3,21,9,big_sky,E Washington,39,,ray_giacoletti,0
2003,1187,63,40,27,69,13,25,12,13,5,4,17,4,cusa,East Carolina,39,,bill_herrion,0
2003,1189,62,42,32,66,13,21,11,16,7,3,19,6,big_south,Elon,24,,mark_simons,0
2003,1190,80,46,34,74,14,24,14,19,11,5,20,9,southern,ETSU,39,W15,ed_dechellis,1
2003,1191,70,48,39,73,9,23,16,16,5,3,20,3,mvc,Evansville,39,,steve_merfeld,0
2003,1192,73,44,35,70,10,21,14,15,6,2,19,5,nec,F Dickinson,39,,tom_green,0
2003,1193,71,44,33,72,12,26,13,17,8,5,20,12,maac,Fairfield,39,,tim_o'toole,0
2003,1194,69,39,34,67,14,22,12,17,9,3,23,3,a_sun,FL Atlantic,30,,sidney_green,0
2003,1196,76,48,39,71,11,24,16,13,8,4,17,9,sec,Florida,39,X02,billy_donovan,1
2003,1197,71,43,39,68,13,24,11,17,7,2,20,8,meac,Florida A&M,39,,mike_gillespie,0
2003,1198,60,41,31,61,14,21,10,16,8,2,19,3,sun_belt,Florida Intl,36,,donnie_marsh,0
2003,1199,68,43,33,67,11,24,14,15,9,4,19,2,acc,Florida St,39,,leonard_hamilton,0
2003,1200,65,41,33,62,11,22,12,17,7,3,21,1,a_ten,Fordham,39,,bob_hill,0
2003,1201,72,45,35,71,13,24,15,16,7,4,20,6,wac,Fresno St,39,,ray_lopes,0
2003,1202,65,42,33,69,13,23,13,15,7,3,17,4,southern,Furman,39,,larry_davis,0
2003,1203,71,44,34,68,14,23,13,16,6,3,21,5,a_ten,G Washington,39,,karl_hobbs,0
2003,1204,76,46,36,64,14,23,14,16,7,4,19,7,southern,Ga Southern,39,,jeff_price,0
2003,1205,67,40,30,70,13,26,15,16,7,3,18,1,a_sun,Gardner Webb,21,,rick_scruggs,0
2003,1206,64,42,30,68,13,23,12,16,8,2,17,6,caa,George Mason,39,,jim_larranaga,0
2003,1207,76,43,33,73,14,26,16,16,9,6,22,4,big_east,Georgetown,39,,craig_esherick,0
2003,1208,79,46,38,71,13,25,18,12,8,4,17,7,sec,Georgia,39,,jim_harrick,0
2003,1209,73,45,33,71,12,22,13,15,8,5,17,5,a_sun,Georgia St,39,,lefty_driesell,0
2003,1210,74,45,35,68,14,25,16,15,8,5,19,2,acc,Georgia Tech,39,,paul_hewitt,0
2003,1211,77,47,38,72,12,25,16,15,7,4,19,12,wcc,Gonzaga,39,Z09,mark_few,1
2003,1212,71,42,34,70,11,26,13,16,5,4,20,3,swac,Grambling,39,,larry_wright,0
2003,1214,71,45,32,66,13,23,15,18,8,4,23,9,meac,Hampton,28,,bobby_collins,0
2003,1216,64,42,34,64,14,23,12,14,7,2,19,5,aec,Hartford,39,,larry_harrison,0
2003,1217,71,43,37,68,13,25,15,17,7,2,20,6,ivy,Harvard,39,,frank_sullivan,0
2003,1218,70,45,35,69,11,22,16,15,7,3,18,3,wac,Hawaii,39,,riley_wallace,0
2003,1219,69,44,33,65,12,21,12,16,7,2,18,3,big_south,High Point,24,,jerry_steele,0
2003,1220,64,41,32,59,15,26,13,18,5,3,20,3,caa,Hofstra,39,,tom_pecora,0
2003,1221,69,46,36,71,12,24,15,14,8,4,18,14,patriot,Holy Cross,39,Y14,ralph_willard,1
2003,1222,58,40,30,66,12,26,11,17,5,4,17,2,cusa,Houston,39,,ray_mccallum,0
2003,1224,73,43,35,69,14,20,11,15,8,3,19,8,meac,Howard,39,,frankie_allen,0
2003,1225,62,41,33,70,12,23,12,14,6,3,17,5,big_west,Idaho,39,,leonard_perry,0
2003,1226,71,44,34,64,11,23,14,15,8,3,20,6,big_sky,Idaho St,39,,doug_oliver,0
2003,1227,75,48,41,60,14,24,16,13,6,3,19,10,horizon,IL Chicago,39,,jimmy_collins,0
2003,1228,75,49,37,72,10,25,18,13,7,3,19,10,big_ten,Illinois,39,Z04,bill_self,1
2003,1229,65,44,44,70,10,21,12,15,6,2,19,3,mvc,Illinois St,39,,tom_richardson,0
2003,1231,71,43,35,71,11,26,14,12,4,5,18,9,big_ten,Indiana,39,Y07,mike_davis,1
2003,1232,56,39,35,69,10,21,12,13,7,3,18,2,mvc,Indiana St,39,,royce_waltman,0
2003,1233,75,46,37,72,11,24,16,15,8,4,20,7,maac,Iona,39,,jeff_ruland,0
2003,1234,70,45,29,72,11,25,14,15,7,4,18,5,big_ten,Iowa,39,,steve_alford,0
2003,1235,70,46,39,68,11,25,12,14,6,6,19,3,big_twelve,Iowa St,39,,larry_eustachy,0
2003,1236,68,43,33,70,9,23,14,16,8,3,20,3,ind,PFW,21,,doug_noll,0
2003,1237,71,45,35,70,12,21,13,16,8,2,19,11,mid_cont,IUPUI,25,Y16,ron_hunter,1
2003,1238,70,41,33,68,10,23,13,16,10,3,22,2,swac,Jackson St,39,,andy_stoglin,0
2003,1239,66,43,31,66,12,24,12,17,7,5,16,4,a_sun,Jacksonville,39,,hugh_durham,0
2003,1240,75,45,37,68,12,21,15,15,10,3,21,9,a_sun,Jacksonville St,28,,mike_laplante,0
2003,1241,67,43,33,67,11,23,13,15,6,5,20,5,caa,James Madison,39,,sherman_dillard,0
2003,1242,81,49,34,67,14,27,17,15,10,5,17,10,big_twelve,Kansas,39,Z02,roy_williams,1
2003,1243,70,46,36,63,11,26,15,13,5,4,18,2,big_twelve,Kansas St,39,,jim_wooldridge,0
2003,1245,77,49,40,71,11,24,14,13,7,2,20,12,mac,Kent,39,,jim_christian,0
2003,1246,78,49,36,71,13,24,16,14,8,5,17,17,sec,Kentucky,39,Y01,tubby_smith,1
2003,1247,68,40,33,73,13,23,11,14,6,2,21,3,a_ten,La Salle,39,,billy_hahn,0
2003,1248,66,44,36,71,9,24,13,14,5,4,16,4,patriot,Lafayette,39,,fran_o'hanlon,0
2003,1249,65,42,34,68,11,26,11,18,6,5,18,3,southland,Lamar,39,,mike_deane,0
2003,1250,64,43,35,73,10,24,12,14,7,3,19,5,patriot,Lehigh,39,,billy_taylor,0
2003,1251,66,40,30,74,12,24,11,18,9,3,20,3,big_south,Liberty,35,,randy_dunton,0
2003,1252,77,43,38,73,10,27,14,17,4,4,19,0,ind,Lipscomb,21,,scott_sanderson,0
2003,1253,63,43,33,71,10,20,12,17,4,3,19,0,big_west,Long Beach St,39,,larry_reynolds,0
2003,1254,75,44,31,68,15,26,14,17,7,2,21,6,nec,LIU Brooklyn,39,,jim_ferry,0
2003,1256,68,42,34,69,12,24,11,14,5,3,20,3,wac,Louisiana Tech,39,,keith_richard,0
2003,1257,82,46,36,70,13,25,17,13,7,5,23,8,cusa,Louisville,39,W04,rick_pitino,1
2003,1258,70,43,31,71,12,22,14,16,8,4,22,4,wcc,Loy Marymount,39,,steve_aggers,0
2003,1259,59,39,32,69,10,22,10,17,6,3,18,1,maac,Loyola MD,39,,scott_hicks,0
2003,1260,74,42,31,73,15,24,12,14,7,4,21,5,horizon,Loyola-Chicago,39,,larry_farmer,0
2003,1261,73,49,38,65,11,25,16,14,8,4,16,5,sec,LSU,39,X08,john_brady,1
2003,1263,71,48,36,66,11,26,16,18,7,6,17,4,aec,Maine,39,,john_giannini,0
2003,1264,76,45,35,79,11,23,14,14,9,4,22,16,maac,Manhattan,39,W14,bobby_gonzalez,1
2003,1265,71,41,37,78,11,24,14,13,7,4,17,7,maac,Marist,39,,dave_magarity,0
2003,1266,78,48,38,77,13,24,16,14,6,4,19,8,cusa,Marquette,39,Y03,tom_crean,1
2003,1267,72,47,36,77,8,24,14,14,6,4,19,3,mac,Marshall,39,,greg_white,0
2003,1268,81,46,40,70,14,27,19,14,11,7,19,5,acc,Maryland,39,X06,gary_williams,1
2003,1269,61,43,30,63,11,21,14,16,6,4,20,2,a_ten,Massachusetts,39,,steve_lappas,0
2003,1270,69,44,36,68,12,23,13,17,7,4,21,5,southland,McNeese St,39,,tic_price,0
2003,1271,63,38,34,73,13,19,10,15,6,2,21,2,meac,MD E Shore,39,,thomas_trotter,0
2003,1272,75,44,35,65,14,26,17,14,7,5,19,9,cusa,Memphis,39,Z07,john_calipari,1
2003,1273,78,47,38,69,14,26,16,17,7,4,17,12,a_sun,Mercer,39,,mark_slonaker,0
2003,1274,70,43,33,72,13,23,14,17,10,4,20,2,big_east,Miami FL,38,,perry_clark,0
2003,1275,58,42,32,69,9,20,11,12,6,2,19,4,mac,Miami OH,39,,charlie_coles,0
2003,1276,69,43,36,74,12,23,12,14,5,3,18,5,big_ten,Michigan,39,,tommy_amaker,0
2003,1277,67,45,37,73,11,24,14,15,6,4,20,5,big_ten,Michigan St,39,X07,tom_izzo,1
2003,1278,74,43,36,70,13,25,16,15,7,6,20,2,big_ten,Minnesota,39,,dan_monson,0
2003,1279,67,46,37,73,10,21,13,14,6,2,20,4,sec,Mississippi,39,,rod_barnes,0
2003,1280,70,47,34,68,13,25,14,16,9,4,16,9,sec,Mississippi St,39,W05,rick_stansbury,1
2003,1281,72,44,36,66,13,26,14,14,6,4,17,7,big_twelve,Missouri,39,Y06,quin_snyder,1
2003,1282,68,41,36,65,12,21,12,12,6,3,18,5,mid_cont,Missouri KC,34,,rich_zvosec,0
2003,1283,67,44,36,67,13,22,10,13,7,4,20,8,mvc,Missouri St,39,,barry_hinson,0
2003,1284,66,43,33,68,8,25,14,15,8,3,17,9,nec,Monmouth NJ,39,,dave_calloway,0
2003,1285,70,43,36,71,11,23,12,14,6,4,22,5,big_sky,Montana,39,,pat_kennedy,0
2003,1286,63,43,35,71,9,22,13,14,5,2,16,4,big_sky,Montana St,39,,mick_durham,0
2003,1287,80,50,38,76,12,22,15,14,7,2,17,7,ovc,Morehead St,39,,kyle_macy,0
2003,1288,68,41,35,65,14,21,11,16,6,2,21,1,meac,Morgan St,39,,butch_beard,0
2003,1289,60,39,28,63,11,22,9,18,7,3,18,1,ind,Morris Brown,2,,derek_thompson,0
2003,1290,76,40,35,70,17,21,15,12,9,3,18,7,swac,MS Valley St,39,,lafayette_stribling,0
2003,1291,64,39,32,70,12,20,12,15,8,3,21,4,nec,Mt St Mary's,35,,jim_phelan,0
2003,1292,68,46,36,68,10,25,12,16,5,2,20,7,sun_belt,MTSU,39,,kermit_davis,0
2003,1293,75,46,33,71,14,24,16,14,7,5,18,5,ovc,Murray St,39,,tevester_anderson,0
2003,1296,70,46,38,65,13,23,13,17,8,4,20,10,mac,N Illinois,39,,rob_judson,0
2003,1298,60,41,33,66,11,22,12,17,7,3,20,1,patriot,Navy,39,,don_devoe,0
2003,1299,61,39,33,59,12,21,9,17,6,1,19,1,meac,NC A&T,39,,curtis_hunter,0
2003,1301,72,46,35,77,10,22,15,14,8,3,19,5,acc,NC State,39,W09,herb_sendek,1
2003,1304,63,40,27,65,12,26,11,14,6,3,18,2,big_twelve,Nebraska,39,,barry_collier,0
2003,1305,76,43,35,71,13,25,12,13,7,4,21,7,wac,Nevada,39,,trent_johnson,0
2003,1306,66,40,33,62,12,23,11,16,7,2,20,3,aec,New Hampshire,39,,phil_rowe,0
2003,1307,70,42,36,74,10,21,12,12,6,3,18,0,mwc,New Mexico,39,,ritchie_mckay,0
2003,1308,73,45,35,74,12,24,12,13,7,4,16,8,sun_belt,New Mexico St,39,,lou_henson,0
2003,1309,70,44,40,68,13,24,12,17,6,4,17,2,sun_belt,New Orleans,39,,monte_towe,0
2003,1310,75,46,33,69,14,23,14,15,8,3,18,9,maac,Niagara,39,,joe_mihalich,0
2003,1311,53,38,34,67,10,20,10,18,6,1,19,1,southland,Nicholls St,39,,ricky_blanton,0
2003,1313,63,42,31,65,12,23,10,17,8,4,19,6,meac,Norfolk St,26,,dwight_freeman,0
2003,1314,71,43,35,66,12,23,15,15,8,5,17,6,acc,North Carolina,39,,matt_doherty,0
2003,1317,69,42,33,71,12,24,13,17,6,4,22,4,sun_belt,North Texas,39,,johnny_jones,0
2003,1318,72,42,32,68,13,22,13,15,9,3,22,7,aec,Northeastern,39,,ron_everhart,0
2003,1319,72,45,39,64,10,25,15,17,5,3,20,5,big_sky,Northern Arizona,39,,mike_adras,0
2003,1320,65,45,38,68,8,23,14,13,5,2,17,3,mvc,Northern Iowa,39,,greg_mcdermott,0
2003,1321,63,43,32,70,10,20,15,13,7,3,18,2,big_ten,Northwestern,39,,bill_carmody,0
2003,1322,62,39,27,63,14,22,11,19,8,4,22,3,southland,Northwestern LA,39,,mike_mcconathy,0
2003,1323,80,45,38,76,11,27,17,13,7,6,16,8,big_east,Notre Dame,39,Z05,mike_brey,1
2003,1324,77,45,34,69,13,24,14,14,8,3,19,5,mid_cont,Oakland,24,,greg_kampe,0
2003,1325,71,45,36,68,10,23,14,15,6,3,19,6,mac,Ohio,39,,tim_o'shea,0
2003,1326,64,41,34,71,12,23,12,14,5,2,18,6,big_ten,Ohio St,39,,jim_j_o'brien,0
2003,1328,71,45,39,71,12,25,14,12,7,4,19,9,big_twelve,Oklahoma,39,W01,kelvin_sampson,1
2003,1329,69,44,38,65,12,24,12,15,9,6,20,7,big_twelve,Oklahoma St,39,W06,eddie_sutton,1
2003,1330,67,40,32,70,14,24,14,13,8,3,18,4,caa,Old Dominion,39,,blaine_taylor,0
2003,1331,76,44,37,75,12,25,15,14,5,5,20,6,mid_cont,Oral Roberts,39,,scott_sutton,0
2003,1332,82,46,39,78,11,24,17,15,8,3,21,9,pac_ten,Oregon,39,Y08,ernie_kent,1
2003,1333,67,42,30,68,11,25,13,14,5,4,17,6,pac_ten,Oregon St,39,,jay_john,0
2003,1334,66,41,33,71,11,23,12,14,6,3,20,3,big_west,Pacific,39,,bob_thomason,0
2003,1335,70,47,41,70,9,24,15,13,7,2,18,11,ivy,Penn,39,W11,fran_dunphy,1
2003,1336,63,40,33,74,12,20,11,16,6,4,20,0,big_ten,Penn St,39,,jerry_dunn,0
2003,1337,78,46,39,72,11,23,14,13,7,3,19,9,wcc,Pepperdine,39,,paul_westphal,0
2003,1338,75,50,36,64,11,25,18,15,8,4,18,10,big_east,Pittsburgh,39,Y02,ben_howland,1
2003,1339,68,41,33,73,8,20,14,14,7,3,22,5,wcc,Portland,39,,michael_holton,0
2003,1340,57,39,33,67,10,22,10,18,5,3,20,0,big_sky,Portland St,25,,heath_schroyer,0
2003,1341,70,44,32,70,11,27,12,15,7,2,20,7,swac,Prairie View,39,,jerry_francis,0
2003,1343,65,46,34,69,8,20,15,12,7,2,18,9,ivy,Princeton,39,,john_thompson_iii,0
2003,1344,72,43,34,79,12,23,15,14,9,6,17,4,big_east,Providence,39,,tim_welsh,0
2003,1345,72,44,33,75,10,23,12,14,7,3,20,4,big_ten,Purdue,39,X09,gene_keady,1
2003,1346,74,45,35,68,12,23,17,16,8,3,21,9,nec,Quinnipiac,25,,joe_desantis,0
2003,1347,63,37,33,67,12,23,9,14,6,3,20,4,big_south,Radford,39,,byron_samuels,0
2003,1348,71,40,31,67,15,23,13,14,8,2,20,7,a_ten,Rhode Island,39,,jim_baron,0
2003,1349,73,46,39,75,11,24,15,17,8,3,20,6,wac,Rice,39,,willis_wilson,0
2003,1350,66,42,34,70,11,22,13,12,7,4,18,5,a_ten,Richmond,39,,jerry_wainwright,0
2003,1351,67,42,30,73,11,23,13,13,7,3,18,4,maac,Rider,39,,don_harnum,0
2003,1352,71,47,38,72,10,21,12,14,5,2,18,4,nec,Robert Morris,39,,mark_schmidt,0
2003,1353,68,40,33,66,14,22,12,14,9,5,21,2,big_east,Rutgers,39,,gary_waters,0
2003,1354,73,46,33,70,13,24,10,19,8,3,21,12,meac,S Carolina St,39,W16,cy_alexander,1
2003,1356,75,47,39,71,11,22,14,12,8,3,19,10,mvc,S Illinois,39,Y11,bruce_weber,1
2003,1357,69,41,34,71,13,20,14,15,9,2,20,3,nec,Sacred Heart,24,,dave_bike,0
2003,1358,72,46,36,71,11,26,16,16,8,6,20,7,southland,Sam Houston St,37,X15,bob_marlin,1
2003,1359,63,47,37,73,6,23,16,15,5,1,18,4,a_sun,Samford,39,,jimmy_tillette,0
2003,1360,75,47,38,66,12,26,16,18,5,3,20,9,wcc,San Diego,39,X13,brad_holland,1
2003,1361,72,46,35,68,13,22,14,15,6,3,20,5,mwc,San Diego St,39,,steve_fisher,0
2003,1362,69,46,38,71,11,21,14,13,5,2,20,6,wcc,San Francisco,38,,philip_mathews,0
2003,1363,64,42,32,63,12,19,13,14,7,1,21,2,wac,San Jose St,39,,phil_johnson,0
2003,1364,65,44,38,74,9,22,13,12,6,1,18,8,big_west,UC Santa Barbara,39,,bob_williams,0
2003,1365,64,42,35,68,12,24,12,15,6,2,19,5,wcc,Santa Clara,39,,dick_davey,0
2003,1366,62,37,27,60,15,22,10,19,9,3,26,1,ind,Savannah St,17,,ed_daniels,0
2003,1368,64,40,30,68,11,20,12,14,8,1,21,3,southland,SE Louisiana,39,,billy_kennedy,0
2003,1369,71,45,40,73,10,22,18,13,5,2,18,4,ovc,SE Missouri St,32,,gary_garner,0
2003,1371,68,43,32,69,12,24,13,15,7,3,19,4,big_east,Seton Hall,39,,louis_orr,0
2003,1372,70,47,38,72,10,21,12,13,9,2,19,6,southland,SF Austin,37,,danny_kaspar,0
2003,1373,75,43,36,72,15,25,14,16,7,3,21,10,maac,Siena,39,,rob_lanier,0
2003,1374,73,43,31,71,13,24,13,16,8,5,19,7,wac,SMU,39,,mike_dement,0
2003,1375,70,43,36,69,11,20,12,13,8,1,18,4,sun_belt,South Alabama,39,,john_pelphrey,0
2003,1376,66,42,30,68,11,22,14,13,8,3,17,1,sec,South Carolina,39,,dave_odom,0
2003,1378,68,43,34,64,13,25,16,15,9,5,19,2,cusa,South Florida,39,,seth_greenberg,0
2003,1379,67,41,28,69,13,25,13,15,6,3,19,2,cusa,Southern Miss,39,,james_green,0
2003,1380,67,41,29,63,14,24,13,16,7,4,19,1,swac,Southern Univ,39,,ben_jobe,0
2003,1381,67,46,38,72,8,21,13,15,7,3,20,3,mid_cont,Southern Utah,35,,bill_evans,0
2003,1382,79,42,37,76,13,22,15,12,8,2,20,6,a_ten,St Bonaventure,39,,jan_van_breda_kolff,0
2003,1383,76,46,36,69,12,22,16,18,9,4,22,5,nec,St Francis NY,39,,ron_ganulin,0
2003,1384,68,44,36,68,10,22,13,16,8,2,18,5,nec,St Francis PA,39,,bobby_jones,0
2003,1385,71,41,32,66,17,21,12,13,10,4,20,6,big_east,St John's,39,,mike_jarvis,0
2003,1386,71,45,37,68,11,24,14,13,7,6,19,12,a_ten,St Joseph's PA,39,W07,phil_martelli,1
2003,1387,61,43,34,66,9,21,12,11,6,3,18,5,cusa,St Louis,39,,brad_soderberg,0
2003,1388,66,45,37,71,10,24,11,17,6,3,22,6,wcc,St Mary's CA,39,,randy_bennett,0
2003,1389,74,42,34,71,14,21,13,15,8,4,22,4,maac,St Peter's,39,,bob_leckie,0
2003,1390,72,44,36,68,14,25,15,14,6,3,19,9,pac_ten,Stanford,39,X04,mike_montgomery,1
2003,1391,71,40,31,75,15,19,12,15,11,2,19,2,a_sun,Stetson,39,,derek_waugh,0
2003,1392,64,43,34,69,11,21,12,16,7,2,17,3,aec,Stony Brook,24,,nick_macarchuk,0
2003,1393,80,47,33,69,14,27,15,14,8,7,17,7,big_east,Syracuse,39,W03,jim_boeheim,1
2003,1394,75,45,32,73,12,23,13,17,8,2,19,5,ind,TAM C. Christi,21,,ronnie_arrow,0
